,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_16_SEACell-11,16,7,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-12,16,7,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-13,16,7,Stem cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d_16_SEACell-14,16,7,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_16_SEACell-15,16,7,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_16_SEACell-16,16,7,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-17,16,7,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_16_SEACell-18,16,7,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-19,16,7,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_16_SEACell-2,16,7,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_16_SEACell-20,16,7,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_16_SEACell-21,16,7,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_16_SEACell-22,16,7,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_16_SEACell-23,16,7,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_16_SEACell-24,16,7,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-25,16,7,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-26,16,7,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-27,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-28,16,7,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_16_SEACell-29,16,7,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_16_SEACell-3,16,7,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_16_SEACell-30,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-31,16,7,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_16_SEACell-32,16,7,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-33,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-34,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-35,16,7,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_16_SEACell-36,16,7,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
